,[run number],sidewalk_width,pedestrian_flow,disabled-proportion,bus_stop_type,second,average_speed,density,mean_delay,mean_delay_disabled,mean_delay_non_disabled,total_conflict_incidents,mean_conflict_disabled,mean_conflict_non_disabled
214,14,8,1500,0.05,backing road,180,0.48457875,0.15833333300000002,6.637225607,2.364191055,7.247659115,744,11.77777778,10.12698413
215,16,8,1500,0.05,backing road,180,0.463017391,0.1375,2.279761473,4.799625707,2.122269959,695,13.6,7.8375
216,21,8,1500,0.05,backing footway,180,0.672904182,0.15416666699999998,4.774121674,6.67850176,4.350926099,660,10.07142857,8.238095238
217,9,8,1500,0.05,bus flag,180,0.43071923,0.179166667,5.3640215410000005,7.239981198,4.895031627,1005,14.70588235,11.10294118
218,22,8,1500,0.05,backing footway,180,0.758074652,0.091666667,1.929873845,1.7833609469999998,1.9680946,766,10.38888889,8.391304348
219,23,8,1500,0.05,backing footway,180,0.6087980479999999,0.120833333,2.670391525,3.192592794,2.586165514,562,10.2,7.4193548389999995
220,24,8,1500,0.05,backing footway,180,0.7714583340000001,0.1375,3.6198757589999997,5.0103078619999994,3.4262712889999998,838,13.81818182,8.683544304
221,18,8,1500,0.05,backing road,180,0.478631553,0.166666667,5.165063452,8.456872766,4.733350755,674,14.75,9.114754097999999
222,17,8,1500,0.05,backing road,180,0.32721851,0.204166667,4.2613917169999995,3.577847251,4.378875922,778,15.18181818,9.546875
223,25,8,1500,0.05,backing footway,180,0.6564457920000001,0.141666667,1.8574232069999999,1.712145665,1.8729886580000001,778,10.0,8.19047619
224,27,8,1500,0.05,backing footway,180,0.588460132,0.12916666699999999,3.058999628,5.381114202000001,2.8332384889999997,650,12.14285714,7.847222222
225,20,8,1500,0.05,backing road,180,0.44700490200000004,0.2,4.927695647,3.534431548,5.0625276569999995,688,15.16666667,9.629032257999999
226,29,8,1500,0.05,backing footway,180,0.724645918,0.10416666699999999,3.104749623,3.500810051,3.02320777,633,9.428571429,7.367647058999999
227,32,8,1500,0.05,backing building,180,0.599216386,0.095833333,1.7825654690000001,1.6697251,1.810313101,531,8.133333333,6.704918032999999
228,31,8,1500,0.05,backing building,180,0.639513332,0.120833333,2.836621891,3.466032481,2.77626745,666,11.0,8.068493151
229,30,8,1500,0.05,backing footway,180,0.530247755,0.1125,4.220224995,5.393200277999999,4.012355957,975,13.71428571,9.911392405
230,34,8,1500,0.05,backing building,180,0.568747773,0.108333333,3.4096995810000004,2.051071727,3.6726598110000004,560,9.333333332999999,7.2258064520000005
231,28,8,1500,0.05,backing footway,180,0.579141682,0.15833333300000002,4.403832891,4.639655607,4.361595987,813,13.33333333,9.746268657
232,26,8,1500,0.05,backing footway,180,0.42814059,0.166666667,2.519287576,1.686834875,2.633322193,800,11.1,9.438356164
233,37,8,1500,0.05,backing building,180,0.5670466989999999,0.125,3.2448888989999998,4.3769078939999995,3.127276536,831,17.5,8.974025974
234,39,8,1500,0.05,backing building,180,0.454359071,0.1375,2.621888216,2.12368578,2.651194241,613,8.25,8.529411765
235,35,8,1500,0.05,backing building,180,0.494803725,0.18333333300000001,3.916456747,2.761592645,4.194479586,640,9.076923077,9.666666667000001
236,36,8,1500,0.05,backing building,180,0.38492912,0.179166667,3.654050614,2.667291374,3.8783140780000003,831,13.66666667,9.484848485
237,33,8,1500,0.05,backing building,180,0.47569381299999997,0.204166667,4.6639364180000005,4.859539815,4.602810357,605,10.26666667,9.395833332999999
238,40,8,1500,0.05,backing building,180,0.568127364,0.1375,4.823598328,3.553144449,5.130966202,652,10.2,8.048387097
239,38,8,1500,0.05,backing building,180,0.422807503,0.19166666699999999,3.494265519,1.174760427,3.639234587,621,10.5,9.046875
